EmployeeID,Name,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,YearsAtCompany,YearsInCurrentRole,NumCompaniesWorked,DistanceFromHome,BusinessTravel,MonthlyIncome,Currency,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,TrainingTimesLastYear,RecruitmentSource,RemoteWorkType,ProjectsHandled,AbsenteeismDays,YearsSinceLastPromotion,NumPromotions,ManagerRating,Certifications,TeamSize,Attrition
1,David Anderson,40,Male,Married,Research & Development,Research Scientist,Bachelor's,Marketing,6,1,3,21,Travel_Rarely,59644,INR,22,3,1,1,3,No,3,Job Portal,On-site,8,4,0,3,Excellent,1,16,No
2,Sofia Ali,30,Female,Single,Research & Development,Laboratory Technician,Bachelor's,Other,12,10,4,4,Travel_Rarely,26014,INR,19,4,4,4,3,No,0,Referral,Hybrid,9,3,3,4,Needs Improvement,4,7,No
3,Ben Khan,40,Male,Married,IT,System Administrator,PhD,Marketing,1,0,1,26,Travel_Rarely,32958,INR,13,3,3,3,3,No,4,Consultancy,Hybrid,4,5,0,1,Excellent,1,22,No
4,Mary Johnson,20,Male,Married,Research & Development,Manufacturing Director,Bachelor's,Life Sciences,2,1,2,1,Non-Travel,169841,INR,11,3,2,4,3,Yes,0,LinkedIn,On-site,7,6,2,1,Average,1,5,No
5,Neha Singh,42,Female,Divorced,Human Resources,HR Recruiter,Bachelor's,Technical Degree,13,5,1,8,Travel_Rarely,34401,INR,24,3,2,2,4,No,0,Job Portal,Remote,11,12,11,5,Average,1,22,No
6,Nia Martin,27,Female,Married,Research & Development,R&D Manager,Master's,Life Sciences,1,0,5,27,Travel_Rarely,119896,INR,11,3,4,2,1,No,0,Consultancy,On-site,0,9,1,0,Average,1,20,No
7,Lucy Clark,24,Male,Single,Human Resources,HR Manager,Bachelor's,Life Sciences,1,0,5,22,Travel_Rarely,65830,INR,24,3,4,3,3,Yes,5,Referral,Hybrid,4,3,1,0,Excellent,0,20,No
8,Amit Sharma,29,Male,Married,Research & Development,Laboratory Technician,Bachelor's,Marketing,1,0,2,23,Travel_Rarely,16797,INR,12,3,1,2,4,No,4,LinkedIn,On-site,1,2,1,1,Good,0,18,No
9,James Nair,55,Male,Single,Finance,Financial Analyst,PhD,Technical Degree,3,2,1,10,Travel_Rarely,44388,INR,17,4,4,3,4,No,2,Walk-in,Hybrid,5,4,1,2,Excellent,2,23,No
10,Nia Kim,31,Female,Divorced,Research & Development,Manufacturing Director,Master's,Human Resources,6,5,3,4,Travel_Rarely,235218,INR,24,3,2,4,3,Yes,5,Walk-in,On-site,5,8,0,2,Good,2,23,No
11,Wei Ali,38,Female,Married,Research & Development,Manufacturing Director,PhD,Life Sciences,9,5,1,12,Travel_Frequently,316621,INR,12,3,1,4,3,No,3,Campus Hiring,On-site,7,3,1,4,Average,4,19,No
12,Neha Wilson,51,Male,Divorced,Sales,Sales Executive,PhD,Technical Degree,11,7,1,13,Non-Travel,46941,INR,14,3,2,2,2,No,5,LinkedIn,Remote,9,8,3,4,Good,0,5,No
13,Amit Lee,51,Female,Married,Finance,Accountant,High School,Other,2,1,3,13,Travel_Rarely,22257,INR,21,3,4,3,3,Yes,5,Consultancy,Hybrid,6,6,2,1,Good,2,14,No
14,Linda Clark,20,Female,Married,Human Resources,HR Manager,Bachelor's,Human Resources,2,1,4,2,Travel_Frequently,71216,INR,19,3,4,3,3,No,4,Job Portal,On-site,6,2,0,1,Average,0,6,No
15,Neha Clark,36,Female,Single,Research & Development,Manufacturing Director,Bachelor's,Marketing,2,0,2,5,Travel_Rarely,180834,INR,11,3,4,1,4,No,5,LinkedIn,Hybrid,4,5,0,0,Average,2,20,No
16,Fatima Patel,45,Male,Single,Research & Development,Manufacturing Director,High School,Human Resources,1,0,0,7,Travel_Rarely,160449,INR,14,3,3,3,3,No,5,LinkedIn,On-site,4,4,0,1,Average,0,11,No
17,Ravi Khan,43,Male,Single,Sales,Sales Manager,PhD,Other,6,4,2,19,Travel_Frequently,111530,INR,14,3,3,2,2,No,5,LinkedIn,Hybrid,7,3,0,2,Good,1,19,No
18,Chen Davis,37,Male,Single,Finance,Accountant,Master's,Life Sciences,6,4,1,3,Non-Travel,35536,INR,24,3,4,2,2,No,5,LinkedIn,Hybrid,7,7,6,2,Average,1,17,No
19,Yusuf Nair,37,Male,Married,Human Resources,HR Manager,Bachelor's,Human Resources,4,3,3,1,Non-Travel,81937,INR,18,3,3,3,3,No,4,Job Portal,Hybrid,7,4,0,2,Average,5,11,No
20,Kevin Wilson,38,Male,Married,Research & Development,Research Scientist,Master's,Marketing,0,0,2,14,Travel_Rarely,42560,INR,15,3,4,2,4,No,2,Consultancy,Hybrid,3,4,0,0,Good,2,23,No
21,Yusuf Khan,28,Female,Single,Research & Development,Research Scientist,Bachelor's,Life Sciences,8,4,2,23,Travel_Rarely,72133,INR,13,3,4,3,3,No,1,Referral,Remote,9,3,0,3,Good,2,7,No
22,Ben Rodriguez,34,Male,Single,Sales,Sales Executive,Master's,Marketing,8,7,1,14,Travel_Rarely,37269,INR,17,4,1,1,2,Yes,4,Walk-in,Hybrid,8,7,4,3,Needs Improvement,1,20,Yes
